Year,Section,Exports,Imports
2023,0,46461.74557,78786.62239
2023,1,3105.335041,3615.721975
2023,2,29661.86794,43711.21133
2023,3,236033.989,231552.0491
2023,4,74888.36242,11225.73655
2023,5,106155.1222,120955.5373
2023,6,127578.4475,125495.1074
2023,7,650205.6514,500554.9946
2023,8,143781.0561,78335.87412
2023,9,8327.127229,16811.1859
2023,overall,1426198.704,1211044.041
