date,section,exports,imports
2001-01-01,5,1238.630188,1780.848183
2001-01-01,6,1826.731397,2419.361905
2001-01-01,7,16863.304221,15987.520071
2001-01-01,8,2204.176351,1543.830955
2001-01-01,9,234.8332,590.779483
2001-01-01,overall,28054.917092,25014.292247
2001-02-01,0,506.056455,977.962266
2001-02-01,1,108.530202,58.757571
2001-02-01,2,652.773126,478.914418
2001-02-01,3,2921.967093,908.330826
2001-02-01,4,798.687254,49.356985
2001-02-01,5,1246.958338,1680.363127
2001-02-01,6,2074.812559,2261.175251
2001-02-01,7,17525.700825,13786.405797
2001-02-01,8,2339.127998,1330.924798
2001-02-01,9,260.367135,669.967341
2001-02-01,overall,28434.980985,22202.15838
2001-03-01,0,520.62727,931.108312
2001-03-01,1,103.340677,55.881167
2001-03-01,2,715.206815,532.108841
2001-03-01,3,3165.158365,1281.117044
2001-03-01,4,981.410652,47.988665
2001-03-01,5,1293.846981,1906.910193
2001-03-01,6,2041.734594,2819.222069
2001-03-01,7,18138.728691,15762.531319
2001-03-01,8,2350.768324,1398.542026
2001-03-01,9,274.454532,690.822255
2001-03-01,overall,29585.276901,25426.231891
2001-04-01,0,527.119076,938.563839
2001-04-01,1,117.686491,62.882178
2001-04-01,2,667.76594,606.934587
2001-04-01,3,2651.216545,1186.666832
2001-04-01,4,990.935271,54.781446
2001-04-01,5,1157.005602,1744.961093
2001-04-01,6,2281.772844,2509.043039
2001-04-01,7,16361.083294,13618.782482
2001-04-01,8,2276.885363,1343.330641
2001-04-01,9,302.1529,797.472713
2001-04-01,overall,27333.623326,22863.418850000002
2001-05-01,0,553.798125,1089.869896
2001-05-01,1,106.683698,69.41271
2001-05-01,2,645.466339,643.144456
2001-05-01,3,3013.97276,857.799342
2001-05-01,4,966.643455,71.178947
2001-05-01,5,1247.248204,1846.040208
2001-05-01,6,2064.893582,2583.329854
2001-05-01,7,16622.109563,14035.632164
2001-05-01,8,2450.464823,1291.827084
2001-05-01,9,359.042359,731.306084
2001-05-01,overall,28030.322908000006,23219.540745
2001-06-01,0,547.169168,1029.817569
2001-06-01,1,105.586907,58.521241
2001-06-01,2,560.555688,591.113717
2001-06-01,3,2340.680773,2373.783197
2001-06-01,4,990.528785,53.76991
2001-06-01,5,1272.922396,1719.913918
2001-06-01,6,1976.480407,2550.400843
2001-06-01,7,16800.726242,13727.797269
2001-06-01,8,2479.546764,1224.415648
2001-06-01,9,342.440676,861.479058
2001-06-01,overall,27416.637806000002,24191.01237
2001-07-01,0,559.665097,954.13317
2001-07-01,1,102.618921,106.252027
2001-07-01,2,607.407782,640.876642
2001-07-01,3,3124.820856,1232.204475
2001-07-01,4,985.124293,36.469103
2001-07-01,5,1177.339652,1687.432163
2001-07-01,6,1865.155444,2497.232715
2001-07-01,7,15628.893407,13266.443802
2001-07-01,8,2539.374599,1323.074145
2001-07-01,9,333.182065,824.0462
2001-07-01,overall,26923.582116,22568.164442
2001-08-01,0,579.510226,1034.258649
2001-08-01,1,122.510305,93.143167
2001-08-01,2,641.582679,561.464116
2001-08-01,3,2498.1883,1241.451484
2001-08-01,4,1149.543598,85.244534
2001-08-01,5,1200.620806,1753.41761
2001-08-01,6,2237.75251,2371.228501
2001-08-01,7,16273.742038,13076.808705
2001-08-01,8,2620.7631,1244.485014
2001-08-01,9,340.893403,739.759594
2001-08-01,overall,27665.106965,22201.261374
2001-09-01,0,557.334557,1036.878312
2001-09-01,1,118.520948,72.900562
2001-09-01,2,613.232968,535.643543
2001-09-01,3,2406.562536,1312.38093
2001-09-01,4,967.573414,127.506107
2001-09-01,5,1098.439139,1628.424056
2001-09-01,6,1847.008261,2280.122378
2001-09-01,7,17202.239494,13238.365597
2001-09-01,8,2382.496968,1222.023311
2001-09-01,9,339.433494,782.229962
2001-09-01,overall,27532.841779000002,22236.474758
2001-10-01,0,562.199767,1124.235746
2001-10-01,1,103.414126,124.758431
2001-10-01,2,579.875362,635.193742
2001-10-01,3,2271.4476,1360.091084
2001-10-01,4,1088.058771,46.920632
2001-10-01,5,1143.777447,1716.293388
2001-10-01,6,2060.045241,2458.970695
2001-10-01,7,17732.563681,14710.839301
2001-10-01,8,2816.113737,1284.137203
2001-10-01,9,351.363339,911.803118
2001-10-01,overall,28708.859071,24373.24334
2001-11-01,0,624.307845,1067.49485
2001-11-01,1,98.94462,55.18038
2001-11-01,2,561.104487,604.040905
2001-11-01,3,2189.603126,983.782856
2001-11-01,4,1225.574904,77.247648
2001-11-01,5,1180.518998,1704.537474
2001-11-01,6,1989.265612,2358.652981
2001-11-01,7,17753.091119,15151.854868
2001-11-01,8,2375.489585,1408.509779
2001-11-01,9,332.018071,941.46899
2001-11-01,overall,28329.918367000002,24352.770731
2001-12-01,0,554.984663,1091.952831
2001-12-01,1,108.727929,100.110512
2001-12-01,2,613.691784,580.467753
2001-12-01,3,2309.59516,862.430567
2001-12-01,4,1212.016738,104.574423
2001-12-01,5,1061.113665,1534.392906
2001-12-01,6,1848.844056,2188.629006
2001-12-01,7,15925.63439,13246.014028
2001-12-01,8,2336.21897,1115.224029
2001-12-01,9,296.919967,756.727842
2001-12-01,overall,26267.747322,21580.523897
2002-01-01,0,618.80789,1092.015086
2002-01-01,1,99.351321,139.452462
2002-01-01,2,542.584508,558.384581
2002-01-01,3,2370.340381,818.165126
2002-01-01,4,1255.926478,125.283882
2002-01-01,5,1174.097216,1581.096385
2002-01-01,6,1749.500867,2361.853986
2002-01-01,7,16875.014763,14394.90722
2002-01-01,8,2297.224384,1179.250674
2002-01-01,9,334.08033,782.537099
2002-01-01,overall,27316.928138,23032.946501
2002-02-01,0,507.922027,851.369244
2002-02-01,1,90.545778,81.692791
2002-02-01,2,489.389082,412.020476
2002-02-01,3,2097.593053,1020.744244
2002-02-01,4,919.70078,76.338933
2002-02-01,5,1047.993841,1452.506501
2002-02-01,6,1625.122252,2079.86295
2002-02-01,7,15036.232054,12715.109281
2002-02-01,8,1907.790863,1057.738977
2002-02-01,9,290.625576,616.849479
2002-02-01,overall,24012.915306,20364.232876
2002-03-01,0,608.539699,1038.511131
2002-03-01,1,106.193008,69.655401
2002-03-01,2,662.564714,597.011326
2002-03-01,3,2248.275952,1296.169273
2002-03-01,4,1266.30928,46.271873
2002-03-01,5,1345.440162,1794.393243
2002-03-01,6,2058.935904,2368.278988
2002-03-01,7,19394.254843,16186.619648
2002-03-01,8,2509.053308,1387.132032
2002-03-01,9,376.64671,797.173079
2002-03-01,overall,30576.21358,25581.215994000002
2002-04-01,0,589.273368,1032.066729
2002-04-01,1,93.212191,56.061022
2002-04-01,2,689.924226,552.391951
2002-04-01,3,2330.35648,1141.790256
2002-04-01,4,1221.435492,35.034414
2002-04-01,5,1365.016364,1863.827063
2002-04-01,6,2142.621729,2560.563519
2002-04-01,7,17811.306498,17447.895084
2002-04-01,8,2364.644217,1465.850615
2002-04-01,9,375.223368,793.310446
2002-04-01,overall,28983.013933000002,26948.791099
2002-05-01,0,575.206682,996.594785
2002-05-01,1,94.840769,77.630327
2002-05-01,2,704.78735,621.610347
2002-05-01,3,1763.781467,1267.156952
2002-05-01,4,1465.575869,69.885879
2002-05-01,5,1465.946211,1928.995536
2002-05-01,6,2224.692101,2792.770012
2002-05-01,7,17756.357522,15340.81731
2002-05-01,8,2572.360349,1459.568221
2002-05-01,9,371.974512,813.165156
2002-05-01,overall,28995.522832,25368.194525
2002-06-01,0,568.683676,941.611765
2002-06-01,1,122.106333,70.496513
2002-06-01,2,628.241951,646.423838
2002-06-01,3,2384.722683,957.983447
2002-06-01,4,1431.148786,94.76887
2002-06-01,5,1446.256325,1808.956698
2002-06-01,6,2106.888166,2511.976437
2002-06-01,7,17706.969038,15693.269967
2002-06-01,8,2360.705022,1376.28581
2002-06-01,9,350.038461,739.986582
2002-06-01,overall,29105.760441,24841.759927
2002-07-01,0,629.609655,1128.26692
2002-07-01,1,111.906431,104.989039
2002-07-01,2,824.64746,647.737981
2002-07-01,3,2499.345084,1568.751721
2002-07-01,4,1518.217366,95.357876
2002-07-01,5,1454.852709,2034.418243
2002-07-01,6,2266.247515,2732.266892
2002-07-01,7,18598.458938,16071.649383
2002-07-01,8,2657.804732,1524.272698
2002-07-01,9,385.844791,962.067996
2002-07-01,overall,30946.934681,26869.778749
2002-08-01,0,610.320314,1004.156211
2002-08-01,1,113.782749,96.219191
2002-08-01,2,786.198322,584.020265
2002-08-01,3,3116.265849,1195.14347
2002-08-01,4,1505.971564,123.163348
2002-08-01,5,1441.803002,1959.930303
2002-08-01,6,2126.755063,2736.334991
2002-08-01,7,18565.15101,16655.531397
2002-08-01,8,2850.06583,1586.660812
2002-08-01,9,393.338393,889.731778
2002-08-01,overall,31509.652096,26830.891765999997
2002-09-01,0,667.441109,1067.077977
2002-09-01,1,107.844702,121.007828
2002-09-01,2,768.62616,621.071735
2002-09-01,3,2585.058563,1318.896321
2002-09-01,4,1733.196494,117.203897
2002-09-01,5,1393.286943,1897.1744
2002-09-01,6,2123.237955,2604.139919
2002-09-01,7,18614.444427,16299.253987
2002-09-01,8,2812.670599,1533.207934
2002-09-01,9,390.775915,837.11711
2002-09-01,overall,31196.582866999997,26416.151108000002
2002-10-01,0,718.628382,1162.427932
2002-10-01,1,113.141388,91.994131
2002-10-01,2,816.553057,497.689395
2002-10-01,3,3141.135783,1299.516695
2002-10-01,4,2084.453355,102.681405
2002-10-01,5,1603.926113,2042.768884
2002-10-01,6,2204.675326,2728.042335
2002-10-01,7,19077.890266,16556.907581
2002-10-01,8,2857.260674,1522.351513
2002-10-01,9,406.203603,990.474681
2002-10-01,overall,33023.867947,26994.854552
2002-11-01,0,733.003956,1203.712015
2002-11-01,1,132.762357,119.598529
2002-11-01,2,797.890209,589.897209
2002-11-01,3,2729.665574,1054.056007
2002-11-01,4,1710.623466,227.316432
